timestamp, power.draw [W]
2026/07/17 17:45:42.509, 60.16 W
2026/07/17 17:45:43.509, 60.18 W
2026/07/17 17:45:44.509, 60.27 W
2026/07/17 17:45:45.510, 60.33 W
2026/07/17 17:45:46.510, 60.26 W
2026/07/17 17:45:47.510, 60.31 W
2026/07/17 17:45:48.510, 60.22 W
2026/07/17 17:45:49.510, 60.40 W
2026/07/17 17:45:50.510, 60.12 W
2026/07/17 17:45:51.510, 59.91 W
2026/07/17 17:45:52.510, 60.31 W
2026/07/17 17:45:53.511, 60.13 W
2026/07/17 17:45:54.511, 60.12 W
2026/07/17 17:45:55.511, 60.22 W
2026/07/17 17:45:56.511, 60.20 W
2026/07/17 17:45:57.511, 60.33 W
2026/07/17 17:45:58.511, 60.37 W
2026/07/17 17:45:59.511, 60.24 W
2026/07/17 17:46:00.511, 60.11 W
2026/07/17 17:46:01.511, 59.94 W
2026/07/17 17:46:02.512, 60.24 W
2026/07/17 17:46:03.512, 60.04 W
2026/07/17 17:46:04.512, 60.10 W
2026/07/17 17:46:05.512, 60.08 W
2026/07/17 17:46:06.512, 60.13 W
2026/07/17 17:46:07.512, 60.36 W
2026/07/17 17:46:08.512, 60.33 W
2026/07/17 17:46:09.513, 60.32 W
2026/07/17 17:46:10.513, 60.24 W
2026/07/17 17:46:11.513, 59.93 W
2026/07/17 17:46:12.513, 60.28 W
2026/07/17 17:46:13.513, 59.99 W
2026/07/17 17:46:14.513, 60.11 W
2026/07/17 17:46:15.513, 60.05 W
2026/07/17 17:46:16.513, 60.19 W
2026/07/17 17:46:17.514, 60.35 W
2026/07/17 17:46:18.514, 60.13 W
2026/07/17 17:46:19.514, 60.08 W
2026/07/17 17:46:20.514, 60.44 W
2026/07/17 17:46:21.514, 60.13 W
2026/07/17 17:46:22.514, 59.88 W
2026/07/17 17:46:23.514, 60.60 W
2026/07/17 17:46:24.515, 60.19 W
2026/07/17 17:46:25.515, 60.08 W
2026/07/17 17:46:26.515, 60.17 W
2026/07/17 17:46:27.515, 60.15 W
2026/07/17 17:46:28.515, 60.08 W
2026/07/17 17:46:29.515, 60.13 W
2026/07/17 17:46:30.515, 60.19 W
2026/07/17 17:46:31.516, 59.96 W
2026/07/17 17:46:32.516, 60.02 W
2026/07/17 17:46:33.516, 60.16 W
2026/07/17 17:46:34.516, 60.01 W
2026/07/17 17:46:35.516, 59.97 W
2026/07/17 17:46:36.516, 60.62 W
2026/07/17 17:46:37.516, 60.01 W
