timestamp, power.draw [W]
2026/07/24 12:22:17.785, 60.13 W
2026/07/24 12:22:18.786, 60.24 W
2026/07/24 12:22:19.786, 60.13 W
2026/07/24 12:22:20.786, 60.16 W
2026/07/24 12:22:21.786, 60.14 W
2026/07/24 12:22:22.786, 60.30 W
2026/07/24 12:22:23.786, 59.72 W
2026/07/24 12:22:24.786, 60.27 W
2026/07/24 12:22:25.786, 60.15 W
2026/07/24 12:22:26.786, 60.15 W
2026/07/24 12:22:27.787, 60.01 W
2026/07/24 12:22:28.787, 60.28 W
2026/07/24 12:22:29.787, 60.23 W
2026/07/24 12:22:30.787, 60.17 W
2026/07/24 12:22:31.787, 60.38 W
2026/07/24 12:22:32.787, 60.36 W
2026/07/24 12:22:33.787, 60.19 W
2026/07/24 12:22:34.787, 60.16 W
2026/07/24 12:22:35.788, 60.12 W
2026/07/24 12:22:36.788, 60.07 W
2026/07/24 12:22:37.788, 60.16 W
2026/07/24 12:22:38.788, 60.25 W
2026/07/24 12:22:39.788, 60.15 W
2026/07/24 12:22:40.788, 60.15 W
2026/07/24 12:22:41.788, 60.01 W
2026/07/24 12:22:42.788, 60.25 W
2026/07/24 12:22:43.789, 60.14 W
2026/07/24 12:22:44.789, 60.24 W
2026/07/24 12:22:45.789, 60.01 W
2026/07/24 12:22:46.789, 60.12 W
2026/07/24 12:22:47.789, 60.24 W
2026/07/24 12:22:48.789, 59.85 W
2026/07/24 12:22:49.789, 60.25 W
2026/07/24 12:22:50.789, 60.31 W
2026/07/24 12:22:51.789, 60.34 W
2026/07/24 12:22:52.790, 60.01 W
2026/07/24 12:22:53.790, 60.10 W
2026/07/24 12:22:54.790, 60.26 W
2026/07/24 12:22:55.790, 59.94 W
2026/07/24 12:22:56.790, 60.23 W
2026/07/24 12:22:57.790, 60.28 W
2026/07/24 12:22:58.790, 60.18 W
2026/07/24 12:22:59.790, 60.17 W
2026/07/24 12:23:00.790, 60.09 W
2026/07/24 12:23:01.791, 59.67 W
2026/07/24 12:23:02.791, 60.13 W
2026/07/24 12:23:03.791, 60.14 W
2026/07/24 12:23:04.791, 60.15 W
2026/07/24 12:23:05.791, 60.29 W
2026/07/24 12:23:06.791, 60.21 W
2026/07/24 12:23:07.791, 50.57 W
2026/07/24 12:23:08.791, 59.04 W
2026/07/24 12:23:09.792, 60.09 W
